Order Date,Title,Category,Website,Release Date,Condition,Seller,Seller Credentials,List Price Per Unit,Purchase Price Per Unit,Quantity,Payment Instrument Type,Purchase Order Number,PO Line Number,Shipment Date,Shipping Address State,Order Status,Item Subtotal,Item Subtotal Tax,Item Total,Tax Exemption Applied,Tax Exemption Type,Exemption Opt-Out,Currency,Group Name
2021-01-20,"Lumi by Pampers Smart Sleep System: Automatic Sleep Tracking + Expert Sleep Coaching to Improve Your Baby’s Sleep (Compatible with Lumi by Pampers Diapers, Sold Separately)",HEALTH_PERSONAL_CARE,Amazon.com,,new,Amazon.com,,$59.00,$58.85,1,CREDIT_CARD_C,,,1/21/21,NY,Shipped,$58.85,$3.48,$62.33,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,Primary Care: Interprofessional Collaborative Practice,ABIS_BOOK,Amazon.com,2020-02-03T00:00:01,new,Amazon Warehouse,,$163.00,$40.30,1,CREDIT_CARD_C,,,1/21/21,NY,Shipped,$40.30,$3.58,$43.88,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,"Baby Wipes, Pampers Sensitive Water Based Baby Diaper Wipes, Hypoallergenic and Unscented, 8 Refill Packs (Tub Not Included), 72 each, Pack of 8 (Packaging May Vary)",SKIN_CLEANING_WIPE,Amazon.com,,new,Amazon.com,,$19.99,$14.99,1,CREDIT_CARD_D,,,1/26/21,NY,Shipped,$14.99,$1.26,$16.25,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,"HP OfficeJet Pro 8025 All-in-One Wireless Printer, Smart Home Office Productivity, HP Instant Ink, Works with Alexa (1KR57A)",PRINTER,Amazon.com,,new,Amazon.com,,$169.89,$169.89,1,CREDIT_CARD_C,,,1/24/21,NY,Shipped,$169.89,$15.08,$184.97,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,Graco DuetSoothe Swing and Rocker,SWING,Amazon.com,,new,Amazon.com,,$169.99,$152.99,1,CREDIT_CARD_C,,,1/25/21,NY,Shipped,$152.99,$13.58,$166.57,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,"Luka&Lily Baby Monthly Milestone Blanket Boy and Girl, Unisex Month Blanket for Newborn Baby Shower, Baby Boy Milestone Blanket, Baby Growth Chart Monthly Blanket, Includes Markers 60""x40""",BLANKET,Amazon.com,,new,Arteo USA,,$35.00,$24.95,1,CREDIT_CARD_D,,,1/25/21,NY,Shipped,$24.95,$2.21,$27.16,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
